valid_time,Temperature (K),Relative humidity (%)
2024-06-10 09:00:00,292.88818,0.6835742
2024-06-10 10:00:00,293.37195,0.6608492
2024-06-10 11:00:00,293.81885,0.6524683
2024-06-10 12:00:00,293.77618,0.6522323
2024-06-10 13:00:00,293.88824,0.65699214
2024-06-10 14:00:00,293.86035,0.6560916
2024-06-10 15:00:00,293.6454,0.6661731
2024-06-10 16:00:00,293.24268,0.6851141
2024-06-10 17:00:00,292.61774,0.7150697
2024-06-10 18:00:00,291.80194,0.77262765
2024-06-10 19:00:00,290.12885,0.862538
2024-06-10 20:00:00,289.67944,0.89204264
2024-06-10 21:00:00,289.22137,0.92318046
2024-06-10 22:00:00,288.51343,0.96073335
2024-06-10 23:00:00,288.24365,0.97165763
2024-06-11 00:00:00,288.25134,0.96813023
2024-06-11 01:00:00,287.6903,0.9668719
2024-06-11 02:00:00,286.92578,0.969594
2024-06-11 03:00:00,286.26807,0.97463584
2024-06-11 04:00:00,286.18262,0.9763941
2024-06-11 05:00:00,287.6944,0.9287946
2024-06-11 06:00:00,289.1648,0.8377719
2024-06-11 07:00:00,290.55798,0.72206
2024-06-11 08:00:00,291.68835,0.66402435
2024-06-11 09:00:00,292.6021,0.6264472
2024-06-11 10:00:00,293.60596,0.58335435
2024-06-11 11:00:00,294.14105,0.56175166
2024-06-11 12:00:00,294.4334,0.55694854
2024-06-11 13:00:00,294.3686,0.5552701
2024-06-11 14:00:00,294.47772,0.54112685
2024-06-11 15:00:00,294.4897,0.52963823
2024-06-11 16:00:00,294.0644,0.53520393
2024-06-11 17:00:00,293.35486,0.5609332
2024-06-11 18:00:00,292.40778,0.63801014
2024-06-11 19:00:00,290.87506,0.79780346
2024-06-11 20:00:00,290.99982,0.65095884
2024-06-11 21:00:00,290.50055,0.66974294
2024-06-11 22:00:00,289.83197,0.69862914
2024-06-11 23:00:00,289.0808,0.7302575
2024-06-12 00:00:00,288.83337,0.73708004
2024-06-12 01:00:00,288.3772,0.74253714
2024-06-12 02:00:00,286.95135,0.83287454
2024-06-12 03:00:00,286.29523,0.8633132
2024-06-12 04:00:00,285.9392,0.8889994
